datetime,text
2020-10-05 21:00:02,nach US-Open-Skandal - Djokovic trifft schon wieder den Linienrichter!
2020-10-05 16:25:08,Angriff vor Hamburger Synagoge: Tatverdächtiger kommt in Psychatrie
2020-10-05 11:10:01,Staatskapelle Dresden im ZDF-Silvesterkonzert
2020-10-05 17:00:04,Was gilt für Reisen aus Risikogebieten in den Herbstferien?
2020-10-05 04:30:02,"Nächste Lewandowski-Gala: ""Absoluter Torjäger"""
2020-10-05 19:25:02,Neu auf der Gastro-Messe - Erste Maske mit Lächel-Fenster!
2020-10-05 08:05:03,"Abfuhren, Ohrfeigen, Schwangerschaften: Die größten Aufreger im &quot;Bachelor&quot;-Universum"
2020-10-05 08:05:02,Fifa 21 kommt am 9. Oktober - Darum sollten FIFA-Fans nicht auf die PS5 warten
2020-10-05 07:00:02,Mehr als 1300 neue Corona-Fälle in Deutschland
2020-10-05 14:15:02,Coronavirus in Deutschland: Zehn statt 14 Tagen Quarantäne für Einreisende aus Risikogebieten
2020-10-05 14:20:01,Arminia Bielefeld leiht Arne Maier von Hertha BSC
2020-10-05 21:00:02,Darmstadt siegt mit Last-Minute-Tor in Nürnberg
2020-10-05 13:30:04,Deutsche Börse erwägt Vergrößerung des Dax auf 40 Unternehmen
2020-10-05 09:40:01,3 Forscher geehrt - Medizin-Nobelpreis an Hepatitis-C-Entdecker
2020-10-05 02:30:02,"Kommissarin Nina Rubin - Meret Becker: ""Tatort""-Ausstieg aus finanzieller Sicht ""dusselig"""
2020-10-05 17:00:01,Transfermarkt: Werder Bremen verleiht Johannes Eggestein an Linzer ASK
2020-10-05 09:10:01,Rodungen für A49: Polizeieinsatz am Maulbacher Wald
2020-10-05 08:55:03,Ziemiak hält Grünen-Vorstoß gegen neue Autobahnen für „Spinnerei“
2020-10-05 23:15:02,Coronavirus: Trump verlässt Krankenhaus
2020-10-05 11:50:01,"Coronavirus im Sport: Zu krank für die Bundesliga, aber fit genug zum Feiern"
2020-10-05 13:00:03,Angriff vor Synagoge: Jüdische Menschen in Gefahr
2020-10-05 11:40:07,Alles zur Pandemie im Norden - 98 neue Corona-Fälle in Hamburg
2020-10-05 13:50:01,Joshua Mees wechselt von Union Berlin zu Holstein Kiel
2020-10-05 17:30:03,NRW - 14-Jähriger fordert per Whatsapp zum Mord auf - und testete bereits Sprengkörper
2020-10-05 21:15:01,Trumps Corona-Infektion - Was die Therapie über seine Krankheit verrät
2020-10-05 12:20:01,Arbeiter stürzt in München von Dach und wird schwer verletzt
2020-10-05 17:05:02,Drei Abgänge - Union räumt die Kabine auf
2020-10-05 10:40:01,Idles: Die letzte Band vor der Kneipenschlägerei
2020-10-05 18:10:03,Paris schließt alle Bars und ruft höchste Alarmstufe aus
2020-10-05 21:25:01,„Wer wird Millionär?“ - Diese Antwort wusste KEINER
2020-10-05 08:20:03,+++ Transfer-Ticker +++ - Offiziell: FC Bayern holt Marc Roca - auch Choupo-Moting im Anflug
2020-10-05 16:20:04,Lambrecht verurteilt &quot;widerliche Attacke&quot; auf Mann vor Synagoge
2020-10-05 17:10:01,Keine Abnehmer für 3 Spieler - Rose bleibt auf XXL-Kader sitzen
2020-10-05 06:30:02,US-Präsident: Kritik an Donald Trumps Klinik-Ausfahrt
2020-10-05 12:50:03,Untersuchung für Bayern - LKA verzeichnet massiven Anstieg sogenannter Pornselfies unter Jugendlichen
2020-10-05 05:50:02,SZ Espresso: Nachrichten am Morgen - die Übersicht für Eilige
2020-10-05 08:00:02,„Menschenleben riskiert“ - Ärzte üben harte Kritik an Trumps Spritztour
2020-10-05 10:40:01,"Schlangenlinien gefahren: Fahrer mit 2, 48 Promille gestoppt"
2020-10-05 08:20:03,Perspektiven am Morgen - Automobilindustrie stützt Preise der „Platin-Gruppe“ dank erholender Automobilnachfrage
2020-10-05 18:45:02,Liveblog: ++ Schuldenregeln in der EU bleiben ausgesetzt  ++
2020-10-05 07:15:01,Warentest: Nach Autounfall ohne Schuld Anwalt einschalten
2020-10-05 08:05:02,Nach Kontakt zu Infiziertem - Von der Leyen in Corona-Quarantäne
2020-10-05 14:40:04,EU-Parlament tagt zur Lage des Rechtsstaats in der EU
2020-10-05 11:10:03,Lokaltermin: Sushi und Pho
2020-10-05 17:10:01,Nürnberg: Neues ICE-Werk soll 2028 fertig sein
2020-10-05 14:10:02,Offensivspieler kann gehen: SC Freiburg löst Vertrag von Marco Terrazzino auf
2020-10-05 22:50:01,Covid-19-Erkrankung: US-Präsident Trump verlässt Klinik im Hubschrauber
2020-10-05 12:55:02,Zweite Brexit-Grenze – Hier schaffen die Briten Tatsachen
2020-10-05 04:10:01,75. NRW-Geburtstag 2021: Regierung plant Projekte mit Corona
2020-10-05 07:15:01,FC Magdeburg: Wirtschaftsrat kritisiert Kallniks Machtfülle
2020-10-05 18:40:02,Wegen „Liebig 34“-Räumung? - Linke Chaoten legen Berliner S-Bahn lahm
2020-10-05 13:20:01,Kleinflugzeug legt Bruchlandung hin: Blaskapelle hilft
2020-10-05 13:15:02,Sorge vor Blech-Lawine - Polen will keine deutschen Alt-Autos mehr
2020-10-05 10:30:01,Neue Corona-Maßnahmen: Diese Regeln gelten jetzt in den Bundesländern
2020-10-05 13:35:02,"Antisemitischer Angriff in Hamburg: Verwirrt, Einzeltäter – wie immer"
2020-10-05 10:50:01,Mann wirft Feuerwehr und Polizei brennendes Holz entgegen
2020-10-05 15:35:02,Kandidatinnenkür der Grünen in Berlin: Grüne Frau will ins Rote Rathaus
2020-10-05 09:50:01,Franzke wechselt auf Leihbasis zum 1. FC Magdeburg
2020-10-05 17:15:02,Mehr als 250 neue Corona-Infektionen im Südwesten
2020-10-05 10:10:03,Coronavirus: Ist die Maske für Kinder gefährlich?
2020-10-05 11:50:01,Gewerbeansiedlung: Garching lockt SAP und Siemens
2020-10-05 08:25:02,Jubiläums-Party zum WM-Sieg - Matthäus: Wir wollen den DFB nicht dabei haben
2020-10-05 10:15:02,Werder Bremen vor Ausleihe von Marko Grujic vom FC Liverpool
2020-10-05 07:20:02,Höchste Corona-Warnstufe ausgerufen
2020-10-05 04:35:03,"„Ist es der Idealismus, der mich dazu treibt, unterbezahlt zu arbeiten?“"
2020-10-05 07:10:02,Corona-Infektion des US-Präsidenten: Kritik an Trumps Autotour
2020-10-05 09:00:01,Wohnen und Corona: Viel Raum für Neues
2020-10-05 10:05:02,Streit in Italien: Neapel droht mit Klage nach skurrilem Spielausfall
2020-10-05 17:05:02,"NRW, Ba-Wü, Bayern, Hessen - Wieder Warnstreiks im Nahverkehr!"
2020-10-05 15:00:01,"Coronavirus: Der Doktor, der Trump gesund redet"
2020-10-05 10:15:02,Landesregierung macht keine Ausnahme für Grünen-Chef Habeck
2020-10-05 10:00:01,Männliche Pädagogen an Schulen im Südwesten in der Minderheit
2020-10-05 13:55:02,"Ernährung, Training, Motivation - Jetzt bloß keinen Winterspeck ansetzen!"
2020-10-05 17:45:02,Sie ist mehrere hundert Jahre alt - Wir fanden eine echte Kanonenkugel im Garten
2020-10-05 06:45:02,„Sommerhaus der Stars“ im News-Ticker - &#034;Sommerhaus der Stars&#034;: Bachelor-Pärchen gibt die beleidigten Verlierer
2020-10-05 19:55:02,Messer-Mord in Dresden - Zeuge Farid: „Ich sah einen blutüberströmten Mann“
2020-10-05 16:00:02,Drese will Länder-Mitsprache bei Spahns Pflege-Reformplänen
2020-10-05 08:00:03,Held von der A1 wird ausgezeichnet
2020-10-05 13:50:01,Von Lautern nach Aue - Jonjic vor Unterschrift beim FC Erzgebirge
2020-10-05 08:05:02,50 Fans prügeln sich - Massenschlägerei nach Eishockey-Spiel
2020-10-05 08:15:01,Öffentlicher Dienst setzt Warnstreiks fort
2020-10-05 09:55:01,Torjäger kommt aus Mannheim - Shala stürmt zum Chemnitzer FC
2020-10-05 05:15:03,Kritik an Trump-Ausfahrt trotz Corona-Infektion
2020-10-05 07:35:01,Mann läuft mit Hund vor Auto: Herrchen und Tier sterben
2020-10-05 07:15:01,München: Adipositas-Sprechstunde hilft Hunden und Katzen
2020-10-05 10:35:01,Kalayci bedauert Einstufung als Risikogebiet für Bezirke
